ID,TARGET
2,0.058766384
5,0.060902465
6,0.0015205628
7,0.009227352
9,0.002020592
11,0.24351108
12,0.06006764
15,0.16495231
16,0.02728198
17,0.018452423
19,0.028262813
21,0.0033847096
22,0.02542393
24,0.010554372
27,0.009195731
28,0.014868586
30,0.19293149
33,0.0028004928
35,0.0111566745
37,0.015283281
38,0.017094601
40,0.17356816
41,0.024974449
44,0.015563673
46,0.10338552
47,0.00992892
48,0.002657085
50,0.004332874
52,0.15651734
53,0.00822483
55,0.021054255
57,0.0014176577
58,0.008641081
59,0.015198003
62,0.02606804
63,0.010779395
64,0.023387868
65,0.012976004
67,0.01922513
69,0.048592933
70,0.003388229
71,0.013243924
72,0.002811884
73,0.0020105229
76,0.0033809107
78,0.0024810808
79,0.039386842
81,0.0013449346
85,0.010264731
86,0.0034852088
89,0.033904318
94,0.14038573
96,0.0031503579
97,0.026178412
98,0.0020961922
99,0.01972561
100,0.24136268
103,0.08435606
104,0.0043526776
108,0.005898521
110,0.0022374592
112,0.031746607
114,0.03463639
116,0.023788372
117,0.016140262
119,0.0058847135
120,0.013217211
121,0.000881041
123,0.026934665
124,0.028643526
126,0.0015001404
128,0.013925697
129,0.10590069
133,0.03400373
138,0.021970227
147,0.036025286
149,0.015809486
158,0.0025814997
160,0.010052691
164,0.043456618
167,0.051923815
168,0.0116386255
174,0.012660479
181,0.01691841
185,0.030630812
187,0.0026921367
189,0.009088004
190,0.069446094
194,0.007582098
197,0.071403
198,0.019314868
201,0.030662613
205,0.0068326537
208,0.15462197
211,0.010304686
216,0.040994085
219,0.037587084
223,0.0055047143
224,0.10964722
226,0.01559108
229,0.013537815
230,0.017392885
237,0.019712506
238,0.018094739
240,0.06949321
243,0.0012296541
245,0.12601328
246,0.21990581
247,0.00745657
248,0.016265202
249,0.0028004928
250,0.24046202
251,0.0015001404
255,0.11164726
256,0.020901872
257,0.0964791
260,0.15818076
261,0.0018329944
263,0.2078607
264,0.1577444
267,0.0057566045
268,0.0180717
272,0.008544847
274,0.005301314
275,0.003944513
277,0.23853213
278,0.2973761
280,0.0028044465
281,0.031235158
282,0.050769098
283,0.010779395
284,0.099375434
286,0.008717588
290,0.018440006
291,0.028643526
293,0.022228383
295,0.091447614
297,0.0008881095
298,0.073975034
300,0.0024322302
304,0.002726346
305,0.003977677
308,0.0053012157
309,0.009058787
310,0.005483639
312,0.028643526
313,0.1586708
315,0.010954864
317,0.01931935
318,0.03038692
321,0.013930942
323,0.074575536
325,0.007103
326,0.015198003
327,0.011645895
328,0.095704176
329,0.017067797
330,0.0022686515
331,0.0144561175
334,0.04540488
335,0.009351843
336,0.06972863
337,0.00374308
338,0.043797795
339,0.01559108
341,0.13534853
343,0.012455793
346,0.0026964135
348,0.00357645
350,0.21693319
351,0.0025272376
352,0.015727961
357,0.05298584
358,0.010250377
360,0.006437319
361,0.015198003
364,0.018402405
365,0.031632707
366,0.019543245
367,0.008943067
368,0.008645285
370,0.0032610854
372,0.002287478
376,0.0012429358
377,0.0032149833
379,0.014890435
380,0.00952039
381,0.1391079
385,0.009089769
386,0.03437951
389,0.061254423
391,0.054788135
392,0.0029715467
393,0.009745166
395,0.01425366
396,0.008175551
397,0.0013918151
398,0.02616788
399,0.03157353
400,0.009008902
401,0.025549905
403,0.0046127895
405,0.032013766
406,0.021287968
409,0.00822483
411,0.00882921
413,0.0025404224
418,0.0031941298
419,0.015506297
422,0.015727961
424,0.231821
425,0.014789416
427,0.0031503579
430,0.0015956524
431,0.01559108
434,0.025621206
435,0.028643526
437,0.073975034
438,0.0008240898
439,0.114408374
442,0.010779395
446,0.014589075
450,0.0816004
451,0.00916611
452,0.009023967
454,0.0015956524
455,0.0020040027
463,0.010165459
464,0.010799905
465,0.0044311476
467,0.1461588
468,0.030865882
470,0.010292537
472,0.18409194
473,0.018829698
475,0.008161639
476,0.004822778
479,0.016439516
481,0.0035837574
483,0.03229562
484,0.008269799
486,0.0415128
487,0.002509246
491,0.023518119
494,0.012867739
495,0.0015232111
497,0.011138225
498,0.0056408946
499,0.010779395
503,0.030659048
504,0.02041664
505,0.004714244
506,0.008328699
507,0.022480916
508,0.06324164
509,0.02159548
510,0.00455227
511,0.013303292
512,0.030462839
516,0.0028623408
518,0.03292371
519,0.004632901
520,0.008452207
521,0.0031696789
522,0.0027464698
524,0.096473515
525,0.004099273
526,0.0025734066
528,0.016050898
529,0.024745662
531,0.07827228
532,0.22465998
534,0.117348686
536,0.039604645
539,0.088606544
540,0.016926065
541,0.0024491106
542,0.09744574
545,0.010382115
546,0.00357645
552,0.019226704
556,0.0016709538
557,0.002899173
559,0.014005588
562,0.014433581
563,0.013800834
565,0.04513413
569,0.0018357385
570,0.07884621
574,0.028643606
575,0.009625558
585,0.011999366
589,0.0058843787
590,0.016271705
592,0.015907206
593,0.027067732
594,0.0085846335
595,0.012995996
597,0.001590131
601,0.0018617238
603,0.013525289
604,0.0008210247
605,0.028191619
607,0.0034852088
608,0.014849684
610,0.019882288
612,0.045610648
613,0.050973218
615,0.0016930447
616,0.21264884
617,0.025866337
619,0.012481215
620,0.14862375
621,0.0030007872
624,0.030830555
625,0.004844623
628,0.0027701897
629,0.17667718
630,0.0308971
632,0.06648852
634,0.0015082979
637,0.0103309555
638,0.012880979
642,0.01945976
643,0.0051902668
644,0.066438824
646,0.0013854686
655,0.01421454
660,0.018829698
664,0.017217545
665,0.08701508
666,0.0026202854
670,0.096473515
671,0.23475294
672,0.0078015397
675,0.0019462549
676,0.041846827
677,0.030659048
678,0.007082271
680,0.0044311476
683,0.15832046
684,0.017573137
685,0.04216898
691,0.046610963
693,0.0011980776
696,0.0016618883
698,0.0047414135
699,0.016050898
700,0.010874708
703,0.007235264
704,0.017039694
705,0.00814309
707,0.19657046
709,0.0941561
711,0.1747084
713,0.015198003
716,0.0024491106
719,0.0034852088
721,0.011414335
722,0.0033771887
723,0.035123736
724,0.006149214
727,0.0015599295
728,0.010728181
729,0.0037316743
733,0.00916611
736,0.0026909243
739,0.028317152
742,0.23168947
743,0.01320622
744,0.002433081
745,0.23272477
747,0.008624513
749,0.024665568
750,0.022233102
751,0.035658494
752,0.0019063796
755,0.00580464
756,0.001519083
762,0.031666875
763,0.04073237
764,0.014258056
765,0.018207077
766,0.0091226455
769,0.02264237
770,0.12478083
773,0.008396425
774,0.0411262
776,0.013694815
777,0.016645322
778,0.004401523
779,0.00916611
780,0.0024491106
781,0.037989765
786,0.06481829
788,0.0071426067
794,0.018007148
796,0.197805
801,0.14052168
802,0.023295347
803,0.005936402
804,0.001983624
805,0.006397086
809,0.028237775
810,0.08504546
817,0.013525289
819,0.0077610025
821,0.009797855
824,0.20088445
825,0.02401944
826,0.17896603
830,0.008854044
831,0.0143832695
832,0.010148976
833,0.010937342
837,0.019204391
839,0.0014330414
840,0.0026523974
841,0.05060313
842,0.0021017683
843,0.0064016427
844,0.07077859
845,0.014589075
848,0.015626954
853,0.018158317
854,0.0015203912
855,0.0037735775
856,0.013053296
861,0.0043047927
865,0.036025286
866,0.0008881095
867,0.009851317
870,0.0025038598
871,0.049831286
872,0.00916611
873,0.01559108
874,0.042267237
875,0.003113778
876,0.0029145607
879,0.016050898
880,0.0034852088
883,0.020207876
884,0.007787781
886,0.041956935
890,0.0034852088
892,0.020951487
893,0.052690152
894,0.022068007
895,0.033025462
896,0.031963978
897,0.0031485928
899,0.17361553
900,0.026105061
901,0.0038384632
902,0.2205452
905,0.009139839
912,0.07349467
914,0.22423956
915,0.06444437
917,0.12225893
918,0.0045874966
919,0.008213523
921,0.0029663339
922,0.01048121
923,0.0025353224
926,0.0014330414
929,0.006834346
930,0.010350886
931,0.07222669
937,0.0041058348
938,0.012426448
939,0.032838304
941,0.03561229
946,0.004299933
947,0.012839405
950,0.004905552
951,0.0036866404
952,0.017792745
953,0.018338487
954,0.0014538206
955,0.012995996
956,0.17356816
957,0.04360517
960,0.03437951
963,0.25284928
966,0.014358036
969,0.022464523
971,0.011765345
972,0.0041966527
975,0.0060437773
980,0.008331617
982,0.11215699
983,0.0024368905
985,0.13027208
987,0.007643006
988,0.0050827996
991,0.010004574
992,0.0008881095
995,0.18209583
996,0.0047074584
998,0.0029902065
1001,0.17356816
1002,0.009058787
1004,0.015198003
1005,0.056835353
1010,0.0024491106
1011,0.0013439045
1012,0.0025208294
1013,0.01744841
1014,0.0132848965
1015,0.032616183
1016,0.010250377
1022,0.0017706916
1023,0.04764411
1024,0.0038466312
1025,0.019483794
1026,0.16219063
1028,0.007342854
1029,0.018305283
1032,0.08504546
1034,0.019167982
1036,0.010282176
1037,0.0014689855
1039,0.17394795
1042,0.008911632
1045,0.03244398
1046,0.028434072
1050,0.010633742
1052,0.021757856
1055,0.015198003
1057,0.004526794
1058,0.0024368905
1060,0.0024491106
1062,0.009352271
1063,0.030659048
1064,0.038043417
1065,0.012345609
1066,0.0047379453
1067,0.16141652
1068,0.026715951
1070,0.096473515
1072,0.019257668
1077,0.22367851
1078,0.010250377
1079,0.0029902065
1081,0.03437951
1082,0.19498827
1093,0.0086924555
1094,0.030659048
1102,0.011828065
1103,0.0653746
1106,0.0020224554
1107,0.21857022
1112,0.038004022
1113,0.0025734066
1114,0.01659885
1116,0.0023775187
1118,0.043695662
1120,0.019882288
1121,0.033137813
1128,0.029244395
1130,0.067381665
1132,0.010052691
1135,0.0035341124
1138,0.08112485
1139,0.0049209436
1141,0.018829698
1143,0.16062507
1146,0.12728745
1148,0.015727961
1149,0.030541174
1151,0.012221215
1152,0.019483794
1153,0.010602979
1155,0.023788488
1157,0.0020124854
1160,0.02474875
1161,0.002820925
1162,0.027964761
1164,0.054687373
1168,0.013620188
1169,0.0029064724
1174,0.17356816
1176,0.0010141766
1177,0.23237975
1178,0.014818961
1180,0.008890406
1181,0.040640578
1182,0.023115404
1185,0.009990826
1190,0.008023231
1194,0.0041058348
1196,0.04290508
1199,0.0089258235
1200,0.01712766
1201,0.003912868
1202,0.047643986
1206,0.24319957
1207,0.018594373
1208,0.0015915737
1212,0.025364662
1216,0.0016620505
1219,0.013110396
1221,0.012932885
1222,0.0025208294
1225,0.018007118
1227,0.008911632
1230,0.009118594
1231,0.01559108
1232,0.0095641725
1233,0.0019353725
1234,0.049831286
1235,0.009091573
1236,0.10977444
1237,0.0021407707
1238,0.047105864
1239,0.017893959
1240,0.024621567
1241,0.0105969235
1244,0.04642875
1245,0.033179257
1247,0.008911632
1250,0.013802489
1251,0.002935535
1257,0.009300838
1259,0.0024491106
1266,0.13417579
1267,0.2205452
1268,0.0037838342
1270,0.25077486
1272,0.0054912246
1273,0.16542396
1276,0.048517462
1278,0.0018844331
1279,0.04837683
1283,0.01372512
1284,0.016439516
1286,0.0038578291
1289,0.021926815
1290,0.0015827768
1292,0.0077166823
1293,0.028643526
1294,0.10900371
1296,0.09765467
1298,0.011762164
1299,0.111006506
1301,0.0029039585
1304,0.034941874
1306,0.013564931
1308,0.09229267
1310,0.018356448
1311,0.00334349
1312,0.049852196
1315,0.0041058348
1318,0.07542236
1319,0.0050644414
1320,0.0025509319
1323,0.004805035
1324,0.011622411
1325,0.045190454
1326,0.0108520305
1329,0.22732648
1331,0.11233853
1332,0.012995996
1335,0.0025585347
1336,0.19728495
1338,0.038932532
1340,0.08596214
1342,0.0025509319
1345,0.010526588
1347,0.0025007986
1349,0.016439516
1350,0.039036877
1351,0.0054794303
1354,0.002038789
1355,0.019282497
1356,0.015198003
1359,0.028613871
1361,0.24370846
1362,0.18756734
1363,0.15547346
1365,0.008344774
1366,0.020102035
1367,0.030659048
1368,0.0052202344
1369,0.0025686203
1370,0.022862043
1371,0.0281246
1372,0.1880715
1374,0.012018703
1375,0.098981544
1376,0.04128648
1379,0.0028117008
