ExceptionError,FileName,ImageBase,ImageSize,EpAddress,LinkerVersion,TimeDateStamp,ExportRVA,ExportSize,NumberOfExFunctions,NumberOfImFunctions,ResourceSize,HasResources,HasRelocations,DebugRVA,DebugSize,HasDebug,HasTls,IATRVA,ImageVersion,OSVersion,StackReserveSize,Dll,NumberOfSections
0,Backdoor.Win32.Agent.avuh_134e.exe,4194304,45056,3422617582,6,1246101933,0.0,0.0,0.0,126.0,980.0,1.0,0.0,0.0,0.0,0.0,0.0,24576.0,0,4,1048576,0,4
0,Backdoor.Win32.Agent.avuh_c2ef.exe,4194304,45056,3422617582,6,1246101933,0.0,0.0,0.0,126.0,980.0,1.0,0.0,0.0,0.0,0.0,0.0,24576.0,0,4,1048576,0,4
0,Backdoor.Win32.Agent.baiz_eaa2.exe,4194304,94208,3422617582,10,2694881440,0.0,0.0,0.0,61.0,440.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,1048576,33024,3
0,Backdoor.Win32.Agent.biss_01ec.exe,4194304,142396,3422617582,6,1279875750,0.0,0.0,0.0,48.0,121916.0,1.0,0.0,0.0,0.0,0.0,0.0,12288.0,0,4,1048576,0,4
0,Backdoor.Win32.Agent.bivx_9cdf.exe,4194304,49152,3422617582,6,1307431836,0.0,0.0,0.0,129.0,3676.0,1.0,0.0,0.0,0.0,0.0,0.0,4096.0,1,4,1048576,0,3
0,Backdoor.Win32.Agent.bjkd_4713.exe,4194304,806912,3422617582,2,1090534936,0.0,0.0,0.0,-1.0,5264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1048576,512,6
0,Backdoor.Win32.Bifrose.aci_34c4.exe,4194304,32768,3422617582,6,1164999767,0.0,0.0,0.0,7.0,0.0,0.0,0.0,268435456.0,1.0,1.0,0.0,0.0,0,4,1048576,35072,1
0,Backdoor.Win32.Bifrose.byyf_496a.exe,4194304,20480,3422617582,6,1140343770,0.0,0.0,0.0,65.0,3956.0,1.0,0.0,0.0,0.0,0.0,0.0,4096.0,2,4,1048576,0,3
0,Backdoor.Win32.Bifrose.dnhg_51aa.exe,4194304,28672,3422617582,6,1224918154,0.0,0.0,0.0,33.0,9908.0,1.0,0.0,0.0,0.0,0.0,0.0,8192.0,0,4,1048576,0,4
0,Backdoor.Win32.Bifrose.dxey_f579.exe,4194304,86016,3422617582,6,1307424527,0.0,0.0,0.0,52.0,2204.0,1.0,0.0,0.0,0.0,0.0,0.0,4096.0,1,4,1048576,0,3
